scanRate,Range,Velocity,scenario_hits
2.5,3000.0,-300.0,2652.0
2.5,3000.0,-450.0,1763.0
2.5,3000.0,-600.0,1319.0
2.5,2500.0,-300.0,2652.0
2.5,2500.0,-450.0,1763.0
2.5,2500.0,-600.0,1319.0
2.5,2000.0,-300.0,2652.0
2.5,2000.0,-450.0,1763.0
2.5,2000.0,-600.0,1319.0
2.5,1500.0,-300.0,2652.0
2.5,1500.0,-450.0,1763.0
2.5,1500.0,-600.0,1319.0
2.5,1000.0,-300.0,2652.0
2.5,1000.0,-450.0,1763.0
2.5,1000.0,-600.0,1319.0
5.0,3000.0,-300.0,2659.0
5.0,3000.0,-450.0,1770.0
5.0,3000.0,-600.0,1326.0
5.0,2500.0,-300.0,2659.0
5.0,2500.0,-450.0,1770.0
5.0,2500.0,-600.0,1326.0
5.0,2000.0,-300.0,2659.0
5.0,2000.0,-450.0,1770.0
5.0,2000.0,-600.0,1326.0
5.0,1500.0,-300.0,2659.0
5.0,1500.0,-450.0,1770.0
5.0,1500.0,-600.0,1326.0
5.0,1000.0,-300.0,2659.0
5.0,1000.0,-450.0,1770.0
5.0,1000.0,-600.0,1326.0
7.5,3000.0,-300.0,2662.0
7.5,3000.0,-450.0,1773.0
7.5,3000.0,-600.0,1329.0
7.5,2500.0,-300.0,2662.0
7.5,2500.0,-450.0,1773.0
7.5,2500.0,-600.0,1329.0
7.5,2000.0,-300.0,2662.0
7.5,2000.0,-450.0,1773.0
7.5,2000.0,-600.0,1329.0
7.5,1500.0,-300.0,2662.0
7.5,1500.0,-450.0,1773.0
7.5,1500.0,-600.0,1329.0
7.5,1000.0,-300.0,2662.0
7.5,1000.0,-450.0,1773.0
7.5,1000.0,-600.0,1329.0
10.0,3000.0,-300.0,2663.0
10.0,3000.0,-450.0,1774.0
10.0,3000.0,-600.0,1330.0
10.0,2500.0,-300.0,2663.0
10.0,2500.0,-450.0,1774.0
10.0,2500.0,-600.0,1330.0
10.0,2000.0,-300.0,2663.0
10.0,2000.0,-450.0,1774.0
10.0,2000.0,-600.0,1330.0
10.0,1500.0,-300.0,2663.0
10.0,1500.0,-450.0,1774.0
10.0,1500.0,-600.0,1330.0
10.0,1000.0,-300.0,2663.0
10.0,1000.0,-450.0,1774.0
10.0,1000.0,-600.0,1330.0
12.5,3000.0,-300.0,2664.0
12.5,3000.0,-450.0,1775.0
12.5,3000.0,-600.0,1331.0
12.5,2500.0,-300.0,2664.0
12.5,2500.0,-450.0,1775.0
12.5,2500.0,-600.0,1331.0
12.5,2000.0,-300.0,2664.0
12.5,2000.0,-450.0,1775.0
12.5,2000.0,-600.0,1331.0
12.5,1500.0,-300.0,2664.0
12.5,1500.0,-450.0,1775.0
12.5,1500.0,-600.0,1331.0
12.5,1000.0,-300.0,2664.0
12.5,1000.0,-450.0,1775.0
12.5,1000.0,-600.0,1331.0
15.0,3000.0,-300.0,2664.0
15.0,3000.0,-450.0,1775.0
15.0,3000.0,-600.0,1331.0
15.0,2500.0,-300.0,2664.0
15.0,2500.0,-450.0,1775.0
15.0,2500.0,-600.0,1331.0
15.0,2000.0,-300.0,2664.0
15.0,2000.0,-450.0,1775.0
15.0,2000.0,-600.0,1331.0
15.0,1500.0,-300.0,2664.0
15.0,1500.0,-450.0,1775.0
15.0,1500.0,-600.0,1331.0
15.0,1000.0,-300.0,2664.0
15.0,1000.0,-450.0,1775.0
15.0,1000.0,-600.0,1331.0
17.5,3000.0,-300.0,0.0
17.5,3000.0,-450.0,0.0
17.5,3000.0,-600.0,0.0
17.5,2500.0,-300.0,0.0
17.5,2500.0,-450.0,0.0
17.5,2500.0,-600.0,0.0
17.5,2000.0,-300.0,0.0
17.5,2000.0,-450.0,0.0
17.5,2000.0,-600.0,0.0
17.5,1500.0,-300.0,0.0
