0.5 0 | 1.0 0.9993908270190958 0.9975640502598242 0.9945218953682733 0.9902680687415704 0.984807753012208 0.9781476007338057 0.9702957262759965 0.9612616959383189 0.9510565162951535 0.9396926207859084 0.9271838545667874 0.9135454576426009 0.898794046299167 0.882947592858927 0.8660254037844387 0.848048096156426 0.8290375725550417 0.8090169943749475 0.7880107536067219 0.766044443118978 0.7431448254773942 0.7193398003386512 0.6946583704589973 0.6691306063588582 0.6427876096865394 0.6156614753256583 0.5877852522924731 0.5591929034707468 0.5299192642332049 0.5000000000000001 0.46947156278589086 0.43837114678907746 0.4067366430758002 0.37460659341591196 0.3420201433256688 0.30901699437494745 0.27563735581699916 0.24192189559966767 0.20791169081775945 0.17364817766693041 0.13917310096006547 0.10452846326765346 0.06975647374412523 0.03489949670250108 6.123233995736766e-17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4.286263797015736e-16 0.03489949670250015 0.06975647374412586 0.10452846326765362 0.13917310096006522 0.17364817766692972 0.20791169081775834 0.24192189559966806 0.27563735581699916 0.309016994374947 0.34202014332566794 0.3746065934159125 0.4067366430758003 0.4383711467890772 0.4694715627858902 0.4999999999999991 0.5299192642332052 0.5591929034707468 0.5877852522924728 0.6156614753256576 0.6427876096865397 0.6691306063588583 0.694658370458997 0.7193398003386506 0.7431448254773935 0.7660444431189782 0.7880107536067219 0.8090169943749471 0.8290375725550412 0.8480480961564263 0.8660254037844387 0.8829475928589268 0.8987940462991667 0.9135454576426004 0.9271838545667875 0.9396926207859083 0.9510565162951534 0.9612616959383187 0.9702957262759966 0.9781476007338057 0.984807753012208 0.9902680687415703 0.9945218953682732 0.9975640502598243 0.9993908270190958 
0.5 1 | 0.9993908270190958 0.9987820251299122 0.9969563611936845 0.9939160595006973 0.9896648241902408 0.9842078347376879 0.9775517396441024 0.9697046483360623 0.9606761212855751 0.9504771583621137 0.9391201854309705 0.9266190392142547 0.9129889504329772 0.898246525250764 0.8824097250418029 0.8654978445076765 0.8475314881697402 0.8285325452656868 0.8085241630808819 0.7875307187469627 0.7655777895420581 0.7426921217288146 0.7189015979681959 0.6942352033487547 0.6687229900727684 0.6423960408422583 0.6152864309895063 0.5874271893982026 0.558852258262839 0.5295964517353734 0.499695413509548 0.4691855733945388 0.43810410293084556 0.40648887010249474 0.3743783932007344 0.3418117938954298 0.308828749571334 0.2754694449873076 0.24177452331737923 0.20778503663329917 0.17354239588891246 0.13908832046729194 0.10446478735209536 0.06971397998507715 0.03487823687206276 6.119503887030809e-17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4.283652720921566e-16 0.03487823687206183 0.06971397998507778 0.10446478735209552 0.1390883204672917 0.17354239588891177 0.20778503663329806 0.2417745233173796 0.2754694449873076 0.30882874957133355 0.34181179389542893 0.37437839320073496 0.40648887010249485 0.4381041029308453 0.46918557339453815 0.499695413509547 0.5295964517353737 0.558852258262839 0.5874271893982023 0.6152864309895056 0.6423960408422587 0.6687229900727685 0.6942352033487544 0.7189015979681953 0.7426921217288138 0.7655777895420584 0.7875307187469627 0.8085241630808816 0.8285325452656862 0.8475314881697406 0.8654978445076765 0.8824097250418027 0.8982465252507636 0.9129889504329768 0.9266190392142548 0.9391201854309704 0.9504771583621136 0.9606761212855749 0.9697046483360624 0.9775517396441024 0.9842078347376879 0.9896648241902407 0.9939160595006972 0.9969563611936846 0.9987820251299122 
0.5 2 | 0.9975640502598242 0.9969563611936845 0.9951340343707851 0.9920992900156518 0.9878558254968149 0.9824088108221348 0.9757648823399446 0.9679321346536808 0.958920110759857 0.9487397904213919 0.9374035767904598 0.9249252812971602 0.9113201068224176 0.896604629175613 0.8807967768995134 0.8639158094271043 0.8459822936169371 0.8270180786955803 0.807046269637702 0.7860911990162178 0.7641783973567993 0.7413345620328596 0.7175875247389182 0.6929662175819667 0.6675006378321547 0.6412218113757352 0.6141617549148025 0.5863534369598721 0.5578307376628291 0.5286284075391818 0.4987820251299122 0.46832795365450264 0.43730329670795604 0.40574585305577976 0.3736940705820123 0.3411869994463998 0.3082642445077899 0.27496591707171397 0.24133258602093882 0.20740522838853243 0.17322517943366064 0.13883408228094232 0.10427383718471564 0.06958655048003265 0.03481448328257636 6.108318105475815e-17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4.275822673833071e-16 0.03481448328257543 0.06958655048003327 0.1042738371847158 0.13883408228094207 0.17322517943365995 0.20740522838853132 0.2413325860209392 0.27496591707171397 0.30826424450778944 0.3411869994463989 0.37369407058201287 0.40574585305577987 0.43730329670795576 0.46832795365450197 0.4987820251299112 0.5286284075391822 0.5578307376628291 0.5863534369598717 0.6141617549148018 0.6412218113757355 0.6675006378321549 0.6929662175819665 0.7175875247389176 0.7413345620328589 0.7641783973567995 0.7860911990162178 0.8070462696377017 0.8270180786955798 0.8459822936169374 0.8639158094271043 0.8807967768995132 0.8966046291756127 0.9113201068224172 0.9249252812971603 0.9374035767904597 0.9487397904213918 0.9589201107598567 0.9679321346536809 0.9757648823399446 0.9824088108221348 0.9878558254968148 0.9920992900156517 0.9951340343707852 0.9969563611936845 
0.5 3 | 0.9945218953682733 0.9939160595006973 0.9920992900156518 0.9890738003669027 0.9848432766475461 0.9794128730990714 0.9727892058317135 0.9649803447637393 0.9559958037894977 0.9458465291882032 0.9345448862875817 0.9221046443986228 0.908540960039796 0.8938703584711671 0.8781107135609145 0.8612812260087742 0.8434023999529444 0.8244960179889524 0.8045851146309164 0.7836939482475385 0.7618479715070194 0.7390738003669028 0.7153991816466306 0.690852959222318 0.6654650388849337 0.6392663519046989 0.6122888173461011 0.5845653031794291 0.556129586236215 0.5270163110573678 0.49726094768413676 0.4668997484433295 0.4359697037794369 0.40450849718747367 0.3725544593014449 0.34014652119437266 0.3073241669467798 0.27412738554142113 0.24059662214286703 0.20677272882130054 0.1726969147805623 0.13841069615108437 0.10395584540887964 0.06937434048221462 0.03470831360797018 6.089690279223575e-17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4.262783195456502e-16 0.034708313607969256 0.06937434048221523 0.10395584540887981 0.13841069615108412 0.17269691478056162 0.20677272882129946 0.24059662214286742 0.27412738554142113 0.30732416694677933 0.3401465211943718 0.37255445930144543 0.4045084971874738 0.4359697037794366 0.4668997484433288 0.49726094768413576 0.5270163110573681 0.556129586236215 0.5845653031794288 0.6122888173461004 0.6392663519046993 0.6654650388849338 0.6908529592223178 0.7153991816466301 0.7390738003669021 0.7618479715070197 0.7836939482475385 0.8045851146309161 0.8244960179889519 0.8434023999529447 0.8612812260087742 0.8781107135609143 0.8938703584711668 0.9085409600397956 0.9221046443986229 0.9345448862875816 0.9458465291882031 0.9559958037894974 0.9649803447637394 0.9727892058317135 0.9794128730990714 0.984843276647546 0.9890738003669026 0.9920992900156519 0.9939160595006973 
0.5 4 | 0.9902680687415704 0.9896648241902408 0.9878558254968149 0.9848432766475461 0.9806308479691596 0.9752236716571246 0.9686283355228664 0.9608528749675305 0.9519067631920857 0.9418008996556876 0.9305475967963663 0.9181605650302176 0.9046548960473725 0.8900470444250977 0.8743548075804279 0.8575973040867548 0.8397949503807894 0.8209694358882806 0.8011436965987891 0.7803418871217179 0.7585893512576422 0.7359125911207905 0.7123392348503029 0.6878980029495976 0.6626186732948625 0.6365320448552997 0.6096699001693257 0.5820649666224441 0.5537508765739678 0.5247621263811697 0.4951340343707853 0.46490269780907106 0.4341049489228472 0.4027783100251021 0.3709609477998338 0.3386916268018252 0.3060096622280039 0.27295487201793284 0.23956752834178272 0.20588830853489715 0.17195824553872427 0.1378186779084996 0.10351119944858336 0.06907760853681695 0.03455985719963855 6.063643103410976e-17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4.2445501723876833e-16 0.034559857199637625 0.06907760853681758 0.10351119944858353 0.13781867790849936 0.17195824553872358 0.20588830853489604 0.2395675283417831 0.27295487201793284 0.30600966222800347 0.3386916268018243 0.37096094779983435 0.4027783100251022 0.4341049489228469 0.4649026978090704 0.4951340343707843 0.52476212638117 0.5537508765739678 0.5820649666224438 0.609669900169325 0.6365320448553 0.6626186732948626 0.6878980029495974 0.7123392348503024 0.7359125911207898 0.7585893512576424 0.7803418871217179 0.8011436965987888 0.8209694358882802 0.8397949503807898 0.8575973040867548 0.8743548075804277 0.8900470444250974 0.904654896047372 0.9181605650302177 0.9305475967963662 0.9418008996556875 0.9519067631920854 0.9608528749675306 0.9686283355228664 0.9752236716571246 0.9806308479691594 0.984843276647546 0.987855825496815 0.9896648241902408 
0.5 5 | 0.984807753012208 0.9842078347376879 0.9824088108221348 0.9794128730990714 0.9752236716571246 0.9698463103929541 0.9632873407929415 0.9555547539512126 0.9466579708337202 0.9366078308002486 0.9254165783983234 0.9130978484451158 0.899666649415519 0.8851393451566332 0.8695336349509378 0.8528685319524433 0.8351643400220907 0.816442628990626 0.7967262083790821 0.7760390996088925 0.7544065067354889 0.7318547857410421 0.7084114124237574 0.6841049489228471 0.6589650089199635 0.6330222215594891 0.6063081941316425 0.5788554735638642 0.5506975067673987 0.5218685998873851 0.4924038765061041 0.4623392348503029 0.4317113040547362 0.40055739953520725 0.36891547752548204 0.33682408883346526 0.30432233187297814 0.2714498050283654 0.2382465584099627 0.2047530450592066 0.1710100716628344 0.13705874883622324 0.10294044103643693 0.06869671616600706 0.03436929492884705 6.030208312509488e-17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4.221145818756642e-16 0.034369294928846134 0.06869671616600767 0.10294044103643708 0.137058748836223 0.17101007166283375 0.20475304505920552 0.2382465584099631 0.2714498050283654 0.3043223318729777 0.3368240888334644 0.3689154775254826 0.40055739953520736 0.4317113040547359 0.46233923485030226 0.4924038765061031 0.5218685998873854 0.5506975067673987 0.5788554735638639 0.6063081941316418 0.6330222215594894 0.6589650089199636 0.6841049489228469 0.7084114124237569 0.7318547857410413 0.7544065067354891 0.7760390996088925 0.7967262083790818 0.8164426289906255 0.8351643400220911 0.8528685319524433 0.8695336349509376 0.8851393451566328 0.8996666494155185 0.9130978484451159 0.9254165783983233 0.9366078308002485 0.9466579708337199 0.9555547539512127 0.9632873407929415 0.9698463103929541 0.9752236716571245 0.9794128730990713 0.9824088108221349 0.9842078347376879 
0.5 6 | 0.9781476007338057 0.9775517396441024 0.9757648823399446 0.9727892058317135 0.9686283355228664 0.9632873407929415 0.9567727288213006 0.9490924366591315 0.9402558215593757 0.930273649576356 0.9191580824489982 0.906922662783625 0.8935822975543766 0.8791532399413593 0.8636530695286485 0.847100670886274 0.8295162105622798 0.8109211125128925 0.7913380320007296 0.7707908279928531 0.7493045340922926 0.726905328038456 0.7036204998135865 0.6794784183941234 0.6545084971874737 0.6287411581963064 0.6022077949540278 0.5749407342765973 0.5469731968772816 0.518339256892333 0.48907380036690296 0.45921248275176935 0.42879168546266305 0.39784847155511627 0.36642054056883855 0.3345461825966353 0.30226423163382676 0.269614018265008 0.23663532174578916 0.20336832153790022 0.1698535483567056 0.13613183479077173 0.10224426555364696 0.06823212742846681 0.0341368589663688 5.989426641661592e-17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4.1925986491631143e-16 0.03413685896636789 0.06823212742846742 0.10224426555364713 0.1361318347907715 0.16985354835670494 0.20336832153789913 0.23663532174578955 0.269614018265008 0.3022642316338263 0.33454618259663443 0.3664205405688391 0.3978484715551164 0.4287916854626628 0.45921248275176874 0.48907380036690196 0.5183392568923333 0.5469731968772816 0.574940734276597 0.6022077949540271 0.6287411581963067 0.6545084971874738 0.6794784183941232 0.703620499813586 0.7269053280384552 0.7493045340922928 0.7707908279928531 0.7913380320007293 0.8109211125128919 0.8295162105622801 0.847100670886274 0.8636530695286483 0.879153239941359 0.8935822975543761 0.9069226627836251 0.9191580824489981 0.9302736495763559 0.9402558215593755 0.9490924366591316 0.9567727288213006 0.9632873407929415 0.9686283355228663 0.9727892058317134 0.9757648823399447 0.9775517396441024 
0.5 7 | 0.9702957262759965 0.9697046483360623 0.9679321346536808 0.9649803447637393 0.9608528749675305 0.9555547539512126 0.9490924366591315 0.9414737964294635 0.9327081154017672 0.922806073208125 0.9117797339616576 0.8996425315582589 0.886409253309465 0.8720960219263919 0.8567202758766954 0.8403007481384851 0.8228574433770754 0.8044116135723833 0.7849857321266633 0.7646034664841296 0.7432896492958201 0.7210702481648369 0.6979723340088219 0.6740240480782129 0.6492545676704663 0.6236940705820124 0.5973736983412611 0.570325518267445 0.5425824844015315 0.5141783973567993 0.48514786313799835 0.455526250979263 0.4253496502521494 0.3946548264962943 0.3634791766262692 0.3318606833692002 0.29983786898866516 0.26744974835125046 0.23473578139294535 0.20173582504328832 0.1684900846658375 0.1350390650741293 0.10142352118280162 0.06768440835400848 0.03386283249962003 5.941347777051277e-17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4.158943443935894e-16 0.033862832499619126 0.06768440835400907 0.10142352118280179 0.13503906507412905 0.16849008466583684 0.20173582504328727 0.2347357813929457 0.26744974835125046 0.2998378689886647 0.3318606833691994 0.3634791766262698 0.3946548264962944 0.4253496502521491 0.4555262509792624 0.48514786313799735 0.5141783973567996 0.5425824844015315 0.5703255182674447 0.5973736983412604 0.6236940705820128 0.6492545676704664 0.6740240480782127 0.6979723340088213 0.7210702481648361 0.7432896492958203 0.7646034664841296 0.7849857321266631 0.8044116135723828 0.8228574433770758 0.8403007481384851 0.8567202758766952 0.8720960219263916 0.8864092533094645 0.899642531558259 0.9117797339616575 0.9228060732081249 0.932708115401767 0.9414737964294636 0.9490924366591315 0.9555547539512126 0.9608528749675304 0.9649803447637392 0.9679321346536809 0.9697046483360623 
0.5 8 | 0.9612616959383189 0.9606761212855751 0.958920110759857 0.9559958037894977 0.9519067631920857 0.9466579708337202 0.9402558215593757 0.9327081154017672 0.924024048078213 0.9142141997870687 0.9032905223173859 0.8912663244874977 0.8781562559302741 0.8639762892448012 0.8487437005362285 0.8324770483674969 0.8151961511485886 0.7969220629908466 0.7776770480557834 0.7574845534296303 0.7363691805566739 0.714356655266186 0.6914737964294635 0.6677484832851647 0.6432096214727517 0.617887107815421 0.5918117938954298 0.5650154484661953 0.5375307187469627 0.5093910906471967 0.48063084796915956 0.4512850306383784 0.4213893920128943 0.3909803553233024 0.3600949692966558 0.32877086301829933 0.2970462000866239 0.26495963211660245 0.23255025164874948 0.19985754452088286 0.16692134176071205 0.1337817710578674 0.10047920787449083 0.06705422625395463 0.03354754938763996 5.886030295369093e-17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4.1202212067583647e-16 0.03354754938763906 0.06705422625395524 0.100479207874491 0.13378177105786718 0.16692134176071138 0.19985754452088178 0.23255025164874985 0.26495963211660245 0.2970462000866235 0.32877086301829844 0.36009496929665635 0.3909803553233025 0.42138939201289405 0.45128503063837777 0.4806308479691586 0.509391090647197 0.5375307187469627 0.565015448466195 0.5918117938954292 0.6178871078154213 0.6432096214727518 0.6677484832851645 0.691473796429463 0.7143566552661853 0.7363691805566741 0.7574845534296303 0.7776770480557831 0.796922062990846 0.8151961511485889 0.8324770483674969 0.8487437005362283 0.8639762892448009 0.8781562559302738 0.8912663244874978 0.9032905223173858 0.9142141997870686 0.9240240480782128 0.9327081154017673 0.9402558215593757 0.9466579708337202 0.9519067631920856 0.9559958037894976 0.9589201107598571 0.9606761212855751 
0.5 9 | 0.9510565162951535 0.9504771583621137 0.9487397904213919 0.9458465291882032 0.9418008996556876 0.9366078308002486 0.930273649576356 0.922806073208125 0.9142141997870687 0.9045084971874736 0.8937007903129088 0.8818042466894012 0.8688333604228338 0.8548039345401107 0.8397330617356027 0.823639103546332 0.8065416679812678 0.7884615856319885 0.7694208842938134 0.7494427621283275 0.7285515593999962 0.7067727288213004 0.6841328045425289 0.6606593698240021 0.6363810234301194 0.611327344786169 0.5855288579403553 0.5590169943749475 0.5318240547118606 0.5039831693593229 0.4755282581475769 0.4464939890027908 0.4169157357095314 0.3868295348132558 0.3562720417153322 0.3252804860140797 0.29389262614623657 0.2621467033841229 0.23008139524453977 0.19773576836617338 0.16514923091291273 0.13236148456107355 0.09941247612902042 0.06634234890812209 0.03319139375433488 5.823541592445462e-17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -4.076479114711823e-16 0.03319139375433399 0.06634234890812268 0.09941247612902057 0.1323614845610733 0.16514923091291206 0.19773576836617232 0.23008139524454013 0.2621467033841229 0.2938926261462362 0.32528048601407883 0.3562720417153328 0.38682953481325594 0.4169157357095311 0.4464939890027902 0.47552825814757593 0.5039831693593231 0.5318240547118606 0.5590169943749471 0.5855288579403546 0.6113273447861693 0.6363810234301195 0.6606593698240019 0.6841328045425283 0.7067727288212997 0.7285515593999964 0.7494427621283275 0.7694208842938131 0.7884615856319881 0.8065416679812681 0.823639103546332 0.8397330617356025 0.8548039345401104 0.8688333604228333 0.8818042466894013 0.8937007903129087 0.9045084971874735 0.9142141997870685 0.9228060732081251 0.930273649576356 0.9366078308002486 0.9418008996556875 0.9458465291882031 0.948739790421392 0.9504771583621137 
