Tick,Aircraft X,Aircraft Y,Aircraft Heading,A1,A2,A3,A4,Radar X,Radar Y,Radar Azimuth,Radar RPM,Radar Scan Pattern
21,1100,700,278.8951658132247,26.035130213615616,26.077602459396946,-85,-85,1350,700,186.09476062417752,8.967993320753365,circular
61,1100,700,278.8951658132247,26.011117049096303,26.067010357935978,-85,-85,1350,700,184.8144934543118,8.967993320753365,circular
102,1100,700,278.8951658132247,26.067010357935978,26.011117049096303,-85,-85,1350,700,192.5022196051994,8.967993320753365,circular
142,1100,700,278.8951658132247,26.077602459396946,26.035130213615616,-85,-85,1350,700,191.22195243533366,8.967993320753365,circular
182,1100,700,278.8951658132247,26.077602459396946,26.067010357935978,-85,-85,1350,700,189.94168526546792,8.967993320753365,circular
222,1100,700,278.8951658132247,26.074956048612798,26.074956048612798,-85,-85,1350,700,188.6614180956022,8.967993320753365,circular
262,1100,700,278.8951658132247,26.067010357935978,26.077602459396946,-85,-85,1350,700,187.38115092573645,8.967993320753365,circular
302,1100,700,278.8951658132247,26.035130213615616,26.077602459396946,-85,-85,1350,700,186.1008837558707,8.967993320753365,circular
342,1100,700,278.8951658132247,26.011117049096303,26.067010357935978,-85,-85,1350,700,184.82061658600497,8.967993320753365,circular
383,1100,700,278.8951658132247,26.067010357935978,26.011117049096303,-85,-85,1350,700,192.5083427368926,8.967993320753365,circular
423,1100,700,278.8951658132247,26.077602459396946,26.035130213615616,-85,-85,1350,700,191.22807556702685,8.967993320753365,circular
463,1100,700,278.8951658132247,26.077602459396946,26.067010357935978,-85,-85,1350,700,189.9478083971611,8.967993320753365,circular
503,1100,700,278.8951658132247,26.074956048612798,26.074956048612798,-85,-85,1350,700,188.66754122729537,8.967993320753365,circular
543,1100,700,278.8951658132247,26.067010357935978,26.077602459396946,-85,-85,1350,700,187.38727405742964,8.967993320753365,circular
583,1100,700,278.8951658132247,26.035130213615616,26.077602459396946,-85,-85,1350,700,186.1070068875639,8.967993320753365,circular
623,1100,700,278.8951658132247,26.011117049096303,26.067010357935978,-85,-85,1350,700,184.82673971769816,8.967993320753365,circular
664,1100,700,278.8951658132247,26.067010357935978,26.011117049096303,-85,-85,1350,700,192.51446586858577,8.967993320753365,circular
704,1100,700,278.8951658132247,26.077602459396946,26.035130213615616,-85,-85,1350,700,191.23419869872004,8.967993320753365,circular
744,1100,700,278.8951658132247,26.077602459396946,26.067010357935978,-85,-85,1350,700,189.9539315288543,8.967993320753365,circular
784,1100,700,278.8951658132247,26.074956048612798,26.074956048612798,-85,-85,1350,700,188.67366435898856,8.967993320753365,circular
824,1100,700,278.8951658132247,26.067010357935978,26.077602459396946,-85,-85,1350,700,187.39339718912282,8.967993320753365,circular
864,1100,700,278.8951658132247,26.035130213615616,26.077602459396946,-85,-85,1350,700,186.11313001925708,8.967993320753365,circular
904,1100,700,278.8951658132247,26.011117049096303,26.067010357935978,-85,-85,1350,700,184.83286284939135,8.967993320753365,circular
945,1100,700,278.8951658132247,26.067010357935978,26.011117049096303,-85,-85,1350,700,192.52058900027896,8.967993320753365,circular
985,1100,700,278.8951658132247,26.077602459396946,26.035130213615616,-85,-85,1350,700,191.24032183041322,8.967993320753365,circular
