Tick,Aircraft X,Aircraft Y,Aircraft Heading,A1,A2,A3,A4,Radar X,Radar Y,Radar Azimuth,Radar RPM
0,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,270.87486780429094,4.904398734862066
1,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,275.779266539153,4.904398734862066
2,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,280.6836652740151,4.904398734862066
3,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,285.58806400887715,4.904398734862066
4,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,290.4924627437392,4.904398734862066
5,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,295.3968614786013,4.904398734862066
6,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,300.30126021346337,4.904398734862066
7,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,305.20565894832544,4.904398734862066
8,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,310.1100576831875,4.904398734862066
9,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,315.0144564180496,4.904398734862066
10,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,319.91885515291165,4.904398734862066
11,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,324.8232538877737,4.904398734862066
12,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,329.7276526226358,4.904398734862066
13,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,334.63205135749786,4.904398734862066
14,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,339.5364500923599,4.904398734862066
15,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,344.440848827222,4.904398734862066
16,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,349.34524756208407,4.904398734862066
17,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,354.24964629694614,4.904398734862066
18,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,359.1540450318082,4.904398734862066
19,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,4.05844376667028,4.904398734862066
20,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,8.962842501532347,4.904398734862066
21,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,13.867241236394413,4.904398734862066
22,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,18.77163997125648,4.904398734862066
23,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,23.676038706118547,4.904398734862066
24,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,28.580437440980614,4.904398734862066
25,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,33.48483617584268,4.904398734862066
26,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,38.389234910704744,4.904398734862066
27,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,43.29363364556681,4.904398734862066
28,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,48.19803238042887,4.904398734862066
29,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,53.10243111529093,4.904398734862066
30,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,58.006829850153,4.904398734862066
31,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,62.91122858501506,4.904398734862066
32,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,67.81562731987712,4.904398734862066
33,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,72.7200260547392,4.904398734862066
34,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,77.62442478960126,4.904398734862066
35,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,82.52882352446333,4.904398734862066
36,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,87.4332222593254,4.904398734862066
37,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,92.33762099418747,4.904398734862066
38,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,97.24201972904955,4.904398734862066
39,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,102.14641846391162,4.904398734862066
40,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,107.05081719877369,4.904398734862066
41,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,111.95521593363576,4.904398734862066
42,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,116.85961466849783,4.904398734862066
43,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,121.7640134033599,4.904398734862066
44,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,126.66841213822197,4.904398734862066
45,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,131.57281087308402,4.904398734862066
46,1100,700,12.65229516082757,-85,-85,-85,-85,1350,700,136.4772096079461,4.904398734862066
47,1100,700,12.65229516082757,17.513155499392102,-85,-85,11.505794098357505,1350,700,141.38160834280816,4.904398734862066
48,1100,700,12.65229516082757,20.97742610025734,-85,-85,19.25639156218217,1350,700,146.28600707767023,4.904398734862066
49,1100,700,12.65229516082757,22.793695368992218,-85,-85,21.813356630230874,1350,700,151.1904058125323,4.904398734862066
50,1100,700,12.65229516082757,23.971022246457757,-85,-85,23.06730250275713,1350,700,156.09480454739438,4.904398734862066
51,1100,700,12.65229516082757,24.78833704083229,-85,-85,24.1582774269213,1350,700,160.99920328225645,4.904398734862066
