Tick,Aircraft X,Aircraft Y,Aircraft Heading,A1,A2,A3,A4,Radar X,Radar Y,Radar Azimuth,Radar RPM,Radar Scan Pattern
0,1100,700,19.15146023529084,26.067010357935978,26.077602459396946,-85,-85,1350,700,197.48762541168117,3.2088056100639086,circular
1,1100,700,19.15146023529084,25.042923900792417,-85,-85,25.361807294499556,1350,700,200.69643102174507,3.2088056100639086,circular
2,1100,700,19.15146023529084,24.646943359767004,-85,-85,25.042923900792417,1350,700,203.90523663180898,3.2088056100639086,circular
3,1100,700,19.15146023529084,23.97102224645776,-85,-85,24.646943359767004,1350,700,207.11404224187288,3.2088056100639086,circular
4,1100,700,19.15146023529084,23.319699537123853,-85,-85,23.97102224645776,1350,700,210.32284785193679,3.2088056100639086,circular
5,1100,700,19.15146023529084,22.496022074683278,-85,-85,23.319699537123853,1350,700,213.5316534620007,3.2088056100639086,circular
6,1100,700,19.15146023529084,21.418119305852123,-85,-85,22.496022074683278,1350,700,216.7404590720646,3.2088056100639086,circular
7,1100,700,19.15146023529084,19.914354227256315,-85,-85,21.418119305852123,1350,700,219.9492646821285,3.2088056100639086,circular
8,1100,700,19.15146023529084,16.269948115724716,-85,-85,19.914354227256315,1350,700,223.1580702921924,3.2088056100639086,circular
9,1100,700,19.15146023529084,-85,-85,-85,16.269948115724716,1350,700,226.3668759022563,3.2088056100639086,circular
10,1100,700,19.15146023529084,-85,-85,-85,-85,1350,700,229.57568151232022,3.2088056100639086,circular
11,1100,700,19.15146023529084,-85,-85,-85,-85,1350,700,232.78448712238412,3.2088056100639086,circular
12,1100,700,19.15146023529084,-85,-85,-85,-85,1350,700,235.99329273244803,3.2088056100639086,circular
13,1100,700,19.15146023529084,-85,-85,-85,-85,1350,700,239.20209834251193,3.2088056100639086,circular
14,1100,700,19.15146023529084,-85,-85,-85,-85,1350,700,242.41090395257584,3.2088056100639086,circular
15,1100,700,19.15146023529084,-85,-85,-85,-85,1350,700,245.61970956263974,3.2088056100639086,circular
16,1100,700,19.15146023529084,-85,-85,-85,-85,1350,700,248.82851517270365,3.2088056100639086,circular
17,1100,700,19.15146023529084,-85,-85,-85,-85,1350,700,252.03732078276755,3.2088056100639086,circular
18,1100,700,19.15146023529084,-85,-85,-85,-85,1350,700,255.24612639283146,3.2088056100639086,circular
19,1100,700,19.15146023529084,-85,-85,-85,-85,1350,700,258.45493200289536,3.2088056100639086,circular
20,1100,700,19.15146023529084,-85,-85,-85,-85,1350,700,261.66373761295927,3.2088056100639086,circular
21,1100,700,19.15146023529084,-85,-85,-85,-85,1350,700,264.8725432230232,3.2088056100639086,circular
22,1100,700,19.15146023529084,-85,-85,-85,-85,1350,700,268.0813488330871,3.2088056100639086,circular
23,1100,700,19.15146023529084,-85,-85,-85,-85,1350,700,271.290154443151,3.2088056100639086,circular
24,1100,700,19.15146023529084,-85,-85,-85,-85,1350,700,274.4989600532149,3.2088056100639086,circular
25,1100,700,19.15146023529084,-85,-85,-85,-85,1350,700,277.7077656632788,3.2088056100639086,circular
26,1100,700,19.15146023529084,-85,-85,-85,-85,1350,700,280.9165712733427,3.2088056100639086,circular
27,1100,700,19.15146023529084,-85,-85,-85,-85,1350,700,284.1253768834066,3.2088056100639086,circular
28,1100,700,19.15146023529084,-85,-85,-85,-85,1350,700,287.3341824934705,3.2088056100639086,circular
29,1100,700,19.15146023529084,-85,-85,-85,-85,1350,700,290.5429881035344,3.2088056100639086,circular
30,1100,700,19.15146023529084,-85,-85,-85,-85,1350,700,293.7517937135983,3.2088056100639086,circular
31,1100,700,19.15146023529084,-85,-85,-85,-85,1350,700,296.9605993236622,3.2088056100639086,circular
32,1100,700,19.15146023529084,-85,-85,-85,-85,1350,700,300.1694049337261,3.2088056100639086,circular
33,1100,700,19.15146023529084,-85,-85,-85,-85,1350,700,303.37821054379003,3.2088056100639086,circular
34,1100,700,19.15146023529084,-85,-85,-85,-85,1350,700,306.58701615385394,3.2088056100639086,circular
35,1100,700,19.15146023529084,-85,-85,-85,-85,1350,700,309.79582176391784,3.2088056100639086,circular
36,1100,700,19.15146023529084,-85,-85,-85,-85,1350,700,313.00462737398175,3.2088056100639086,circular
37,1100,700,19.15146023529084,-85,-85,-85,-85,1350,700,316.21343298404565,3.2088056100639086,circular
38,1100,700,19.15146023529084,-85,-85,-85,-85,1350,700,319.42223859410956,3.2088056100639086,circular
