Tick,Aircraft X,Aircraft Y,Aircraft Heading,A1,A2,A3,A4,Radar X,Radar Y,Radar Azimuth,Radar RPM,Radar Scan Pattern
21,1100,700,312.55559093344726,26.074956048612798,26.077602459396946,-85,-85,1350,700,193.62765484079588,15.39837054587769,circular
44,1100,700,312.55559093344726,25.946643644493044,26.011117049096303,-85,-85,1350,700,187.79017739598285,15.39837054587769,circular
68,1100,700,312.55559093344726,26.074956048612798,26.035130213615616,-85,-85,1350,700,197.35107049704752,15.39837054587769,circular
91,1100,700,312.55559093344726,26.053745949214605,26.074956048612798,-85,-85,1350,700,191.51359305223448,15.39837054587769,circular
115,1100,700,312.55559093344726,26.011117049096303,25.946643644493044,-85,-85,1350,700,201.07448615329915,15.39837054587769,circular
138,1100,700,312.55559093344726,26.077602459396946,26.067010357935978,-85,-85,1350,700,195.23700870848612,15.39837054587769,circular
161,1100,700,312.55559093344726,25.9816463993744,26.053745949214605,-85,-85,1350,700,189.39953126367308,15.39837054587769,circular
185,1100,700,312.55559093344726,26.053745949214605,26.011117049096303,-85,-85,1350,700,198.96042436473775,15.39837054587769,circular
208,1100,700,312.55559093344726,26.067010357935978,26.077602459396946,-85,-85,1350,700,193.12294691992471,15.39837054587769,circular
231,1100,700,312.55559093344726,25.906018829630398,26.011117049096303,-85,-85,1350,700,187.28546947511168,15.39837054587769,circular
255,1100,700,312.55559093344726,26.074956048612798,26.053745949214605,-85,-85,1350,700,196.84636257617635,15.39837054587769,circular
278,1100,700,312.55559093344726,26.035130213615616,26.067010357935978,-85,-85,1350,700,191.00888513136331,15.39837054587769,circular
302,1100,700,312.55559093344726,26.011117049096303,25.946643644493044,-85,-85,1350,700,200.56977823242798,15.39837054587769,circular
325,1100,700,312.55559093344726,26.077602459396946,26.074956048612798,-85,-85,1350,700,194.73230078761495,15.39837054587769,circular
348,1100,700,312.55559093344726,25.9816463993744,26.035130213615616,-85,-85,1350,700,188.8948233428019,15.39837054587769,circular
372,1100,700,312.55559093344726,26.067010357935978,26.011117049096303,-85,-85,1350,700,198.45571644386658,15.39837054587769,circular
395,1100,700,312.55559093344726,26.067010357935978,26.077602459396946,-85,-85,1350,700,192.61823899905355,15.39837054587769,circular
418,1100,700,312.55559093344726,25.906018829630398,25.9816463993744,-85,-85,1350,700,186.7807615542405,15.39837054587769,circular
442,1100,700,312.55559093344726,26.077602459396946,26.053745949214605,-85,-85,1350,700,196.34165465530518,15.39837054587769,circular
465,1100,700,312.55559093344726,26.035130213615616,26.067010357935978,-85,-85,1350,700,190.50417721049214,15.39837054587769,circular
489,1100,700,312.55559093344726,26.035130213615616,25.9816463993744,-85,-85,1350,700,200.0650703115568,15.39837054587769,circular
512,1100,700,312.55559093344726,26.074956048612798,26.074956048612798,-85,-85,1350,700,194.22759286674378,15.39837054587769,circular
535,1100,700,312.55559093344726,25.946643644493044,26.035130213615616,-85,-85,1350,700,188.39011542193074,15.39837054587769,circular
559,1100,700,312.55559093344726,26.067010357935978,26.035130213615616,-85,-85,1350,700,197.9510085229954,15.39837054587769,circular
582,1100,700,312.55559093344726,26.053745949214605,26.077602459396946,-85,-85,1350,700,192.11353107818238,15.39837054587769,circular
606,1100,700,312.55559093344726,25.9816463993744,25.906018829630398,-85,-85,1350,700,201.67442417924704,15.39837054587769,circular
629,1100,700,312.55559093344726,26.077602459396946,26.067010357935978,-85,-85,1350,700,195.836946734434,15.39837054587769,circular
652,1100,700,312.55559093344726,26.011117049096303,26.053745949214605,-85,-85,1350,700,189.99946928962098,15.39837054587769,circular
676,1100,700,312.55559093344726,26.035130213615616,25.9816463993744,-85,-85,1350,700,199.56036239068564,15.39837054587769,circular
699,1100,700,312.55559093344726,26.074956048612798,26.077602459396946,-85,-85,1350,700,193.7228849458726,15.39837054587769,circular
722,1100,700,312.55559093344726,25.946643644493044,26.011117049096303,-85,-85,1350,700,187.88540750105957,15.39837054587769,circular
746,1100,700,312.55559093344726,26.074956048612798,26.035130213615616,-85,-85,1350,700,197.44630060212424,15.39837054587769,circular
769,1100,700,312.55559093344726,26.053745949214605,26.074956048612798,-85,-85,1350,700,191.6088231573112,15.39837054587769,circular
793,1100,700,312.55559093344726,26.011117049096303,25.906018829630398,-85,-85,1350,700,201.16971625837587,15.39837054587769,circular
816,1100,700,312.55559093344726,26.077602459396946,26.067010357935978,-85,-85,1350,700,195.33223881356284,15.39837054587769,circular
839,1100,700,312.55559093344726,25.9816463993744,26.053745949214605,-85,-85,1350,700,189.4947613687498,15.39837054587769,circular
863,1100,700,312.55559093344726,26.053745949214605,26.011117049096303,-85,-85,1350,700,199.05565446981447,15.39837054587769,circular
886,1100,700,312.55559093344726,26.067010357935978,26.077602459396946,-85,-85,1350,700,193.21817702500144,15.39837054587769,circular
909,1100,700,312.55559093344726,25.906018829630398,26.011117049096303,-85,-85,1350,700,187.3806995801884,15.39837054587769,circular
933,1100,700,312.55559093344726,26.074956048612798,26.053745949214605,-85,-85,1350,700,196.94159268125307,15.39837054587769,circular
956,1100,700,312.55559093344726,26.035130213615616,26.067010357935978,-85,-85,1350,700,191.10411523644004,15.39837054587769,circular
980,1100,700,312.55559093344726,26.011117049096303,25.946643644493044,-85,-85,1350,700,200.6650083375047,15.39837054587769,circular
